no,property_name, price ,house_type,sqft,bedrooms,bathrooms,receptions,location,city,postal_code
1910,Buckston Browne Gardens,"1,900,000.00",House,4558,5,3,3, Orpington,Kent,BR67FF
1122,Coppice Row,"1,265,000.00",House,2568,5,4,3, Epping,Essex,CM167DN
401,Piercing Hill,"799,999.00",House,1507,4,2,3,,Essex,CM167JN
1573,Woburn Avenue,"535,000.00",House,900,3,2,2, Epping,Essex,CM167JS
797,Piercing Hill,"1,350,000.00",House,2312,4,4,3, Epping,Essex,CM167JW
434,High Oaks Close,"1,100,000.00",House,3185,5,3,3,Coulsdon,Surrey,CR53EZ
1997,Melrose Road,"630,000.00",House,1596,4,3,3,Coulsdon,Surrey,CR53JH
2435,Outwood Lane,"875,000.00",House,1756,4,3,3,Chipstead,Surrey,CR53NB
2164,Castle Road,"1,500,000.00",House,5587,7,5,4, Coulsdon,Surrey,CR53NS
1322,Middlefield Close,"899,950.00",House,2915,5,3,3, Coulsdon,Surrey,CR53NX
458,Old Oak Avenue,"950,000.00",House,3006,5,3,3,,Surrey,CR53PG
654,High Road,"1,500,000.00",House,4023,7,5,4, Coulsdon,Surrey,CR53QN
17,Hazelwood Lane,"1,250,000.00",House,3503,6,5,4, Coulsdon,Surrey,CR53QW
302,High Road,"650,000.00",House,1783,3,2,2, Coulsdon,Surrey,CR53SD
2201,Stylus House,"445,000.00",Flat / Apartment,667,2,2,1,London,London,E10EG
3020,Mulberry Court,"1,100,000.00",Flat / Apartment,1461,3,2,2,London,London,E10EW
2768,Chi Building,"550,000.00",Flat / Apartment,893,2,2,1,London,London,E10EZ
3119,Colefax Building,"475,000.00",Flat / Apartment,542,1,1,1,London,London,E11EQ
1296,Newark Street,"1,775,000.00",House,2200,4,4,3,London,London,E12AA
3008,Newark Street,"1,150,000.00",House,1447,4,3,3,London,London,E12AA
2793,Calico Apartments,"699,950.00",Flat / Apartment,743,2,2,1,London,London,E12AR
3120,Sculpture House,"450,000.00",Flat / Apartment,738,2,2,1,London,London,E13FE
833,Sketch Apartments,"380,000.00",Flat / Apartment,550,1,1,1,London,London,E13FY
2294,Skysail Building,"325,000.00",Flat / Apartment,500,1,1,1,London,London,E140BB
2186,Globe House,"660,000.00",Flat / Apartment,929,2,2,1,CanaryWharf,London,E140LU
1949,Pierhead Lock,"700,000.00",Flat / Apartment,1387,4,,3,CanaryWharf,London,E143FD
3125,New Atlas Wharf,"865,000.00",Flat / Apartment,1551,3,2,2,CanaryWharf,London,E143SS
2325,Horizon Building,"650,000.00",Flat / Apartment,929,2,2,1,CanaryWharf,London,E144AW
2055,Port East Apartments,"565,000.00",Flat / Apartment,653,1,1,1,CanaryWharf,London,E144AX
2172,West India Quay,"1,000,000.00",Flat / Apartment,1514,2,2,1,CanaryWharf,London,E144EF
281,Boardwalk Place,"565,000.00",Flat / Apartment,872,2,2,1,CanaryWharf,London,E145SH
2075,Lucienne Court,"630,000.00",Penthouse,1043,2,2,1,CanaryWharf,London,E146GT
3227,St. Frideswides Mews,"400,000.00",House,571,1,1,1,CanaryWharf,London,E146LN
1793,Foundry House,"699,995.00",Flat / Apartment,791,2,2,1,CanaryWharf,London,E146NJ
2025,Old School Square,"450,000.00",Flat / Apartment,717,2,2,1,CanaryWharf,London,E147DJ
