pcd,pcd no space,oac11,lat,long,
BR6 7FF,BR67FF,5B3,51.331009,0.049399,Orpington
CR5 3EZ,CR53EZ,5B1,51.306201,-0.151835,Coulsdon
CR5 3JH,CR53JH,6B1,51.320894,-0.153469,Coulsdon
E1  0EG,E10EG,3B2,51.512364,-0.048962,Shadwell
E1  0EW,E10EW,3D3,51.510611,-0.059816,Shadwell
E1  0EZ,E10EZ,3B2,51.509543,-0.061605,Whitechapel
E1  1EQ,E11EQ,2D3,51.515701,-0.065826,Whitechapel
E1  2AA,E12AA,3B2,51.516904,-0.060298,Whitechapel
E1  2AR,E12AR,3B2,51.515646,-0.060772,Whitechapel
E1  3FE,E13FE,3A1,51.520287,-0.04143,St Dunstan's
E1  3FY,E13FY,3B2,51.519899,-0.043494,St Dunstan's
E1  4DY,E14DY,3B2,51.523812,-0.048373,Canary Wharf
E1  4FX,E14FX,3A1,51.520287,-0.04143,Canary Wharf
E1  4LR,E14LR,3A2,51.520941,-0.044545,Canary Wharf
E1  4PP,E14PP,3B2,51.522218,-0.038594,Canary Wharf
E1  5AG,E15AG,3B2,51.520192,-0.067135,Spitalfields
E1  5BA,E15BA,2B2,51.519871,-0.060778,Whitechapel
E1  5EN,E15EN,3B2,51.518449,-0.0678,Shoreditch
E1  5LW,E15LW,3B2,51.518781,-0.071029,Shoreditch
E1  6BP,E16BP,2D3,51.521476,-0.076306,Spitalfields & Banglatown
E1  6LF,E16LF,2B2,51.524124,-0.072103,Weavers
E1  6LW,E16LW,3B2,51.515986,-0.07279,Spitalfields & Banglatown
E1  6NQ,E16NQ,2B2,51.520947,-0.074772,Spitalfields
E1  6NW,E16NW,3B2,51.521653,-0.074497,Spitalfields
E1  6QH,E16QH,3D3,51.519868,-0.072612,Spitalfields
E1  6QJ,E16QJ,3D3,51.519604,-0.072926,Spitalfields
E1  6SY,E16SY,3B2,51.522294,-0.075191,Shoreditch
E1  8GH,E18GH,2B2,51.512211,-0.069058,Whitechapel
E1  8JA,E18JA,2B2,51.509649,-0.067452,Whitechapel
E1  8JT,E18JT,2B2,51.509921,-0.067599,Whitechapel
E1  8QE,E18QE,3D3,51.513832,-0.069064,Whitechapel
E14 0BB,E140BB,3B2,51.508606,-0.010935,Poplar
E14 0LU,E140LU,2D3,51.511512,0.006399,Canary Wharf
E14 3FD,E143FD,2D3,51.50021,-0.008547,Canary Wharf
E14 3SS,E143SS,2D3,51.496093,-0.026707,Canary Wharf
E14 4AW,E144AW,2D3,51.507758,-0.02149,Canary Wharf
E14 4AX,E144AX,2D3,51.507517,-0.022639,Canary Wharf
E14 4EF,E144EF,2D3,51.507248,-0.02101,Canary Wharf
E14 5SH,E145SH,2D3,51.505978,-0.009795,Canary Wharf
E14 6GT,E146GT,3A2,51.513485,-0.020896,Canary Wharf
E14 6LN,E146LN,3B2,51.512274,-0.009767,Canary Wharf
E14 6NJ,E146NJ,2D3,51.518226,-0.015632,Canary Wharf
E14 7DJ,E147DJ,3B2,51.513529,-0.025622,Canary Wharf
E14 7DX,E147DX,3B2,51.513619,-0.029379,Canary Wharf
E14 7SZ,E147SZ,3B2,51.513798,-0.027195,Canary Wharf
E14 8AY,E148AY,2D3,51.507998,-0.030962,Limehouse
E14 8BB,E148BB,2D3,51.508458,-0.032081,Limehouse
E14 8BP,E148BP,2D3,51.508546,-0.033014,Canary Wharf
E14 8DB,E148DB,3D3,51.509388,-0.033929,Canary Wharf
E14 8DD,E148DD,2D3,51.5094,-0.036796,Limehouse
E14 8DH,E148DH,2D3,51.509965,-0.042046,Limehouse
E14 8DQ,E148DQ,2D3,51.509967,-0.041109,Limehouse
E14 8DW,E148DW,2B2,51.510318,-0.039509,Canary Wharf
E14 8EH,E148EH,2D3,51.509705,-0.035644,Canary Wharf
E14 8JX,E148JX,2B2,51.499679,-0.027142,Canary Wharf
E14 8RJ,E148RJ,2D3,51.507149,-0.029097,Canary Wharf
E14 8RN,E148RN,2D3,51.50723,-0.02807,Canary Wharf
E14 8RP,E148RP,2D3,51.506371,-0.027761,Canary Wharf
E14 9BL,E149BL,2D3,51.498465,-0.019645,Canary Wharf
E14 9BU,E149BU,2D3,51.498725,-0.019634,Canary Wharf
E14 9DB,E149DB,2B2,51.502013,-0.024765,Canary Wharf
E14 9DF,E149DF,3B3,51.498331,-0.018153,Canary Wharf
E14 9DQ,E149DQ,2D3,51.498769,-0.020641,Canary Wharf
