date,mean_price_house_london,annual_growth_london,mean_price_house_uk,annual_growth_uk
Jan-95,74008,,,
Feb-95,73995,,,
Mar-95,74180,,,
Apr-95,74199,,,
May-95,74656,,,
Jun-95,74652,,,
Jul-95,74225,,,
Aug-95,74312,,,
Sep-95,73772,,,
Oct-95,74304,,,
Nov-95,74488,,,
Dec-95,75179,,,
Jan-96,74938,,,
Feb-96,77326,,,
Mar-96,76000,,,
Apr-96,76480,,,
May-96,76471,,,
Jun-96,77182,,,
Jul-96,76982,,,
Aug-96,77777,,,
Sep-96,78475,,,
Oct-96,79458,,,
Nov-96,80513,,,
Dec-96,81419,,,
Jan-97,82728,,,
Feb-97,84821,,,
Mar-97,84949,,,
Apr-97,85735,,,
May-97,87785,,,
Jun-97,88244,,,
Jul-97,90159,,,
Aug-97,90654,,,
Sep-97,92678,,,
Oct-97,93791,,,
Nov-97,95126,,,
Dec-97,96895,,,
Jan-98,97633,,,
Feb-98,98158,,,
Mar-98,99436,,,
Apr-98,100892,,,
May-98,100241,,,
Jun-98,101881,,,
Jul-98,102258,,,
Aug-98,102316,,,
Sep-98,102906,,,
Oct-98,103958,,,
Nov-98,104157,,,
Dec-98,104905,,,
Jan-99,105514,,,
Feb-99,106502,,,
Mar-99,108173,,,
Apr-99,109226,,,
May-99,110296,,,
Jun-99,112276,,,
Jul-99,114786,,,
Aug-99,117197,,,
Sep-99,120746,,,
Oct-99,122616,,,
Nov-99,125396,,,
Dec-99,128102,,,
Jan-00,130168,,,
Feb-00,133832,,,
Mar-00,135304,,,
Apr-00,140227,,,
May-00,139682,,,
Jun-00,142361,,,
Jul-00,143741,,,
Aug-00,144665,,,
Sep-00,145345,,,
Oct-00,145007,,,
Nov-00,147040,,,
Dec-00,147696,,,
Jan-01,149234,,,
Feb-01,150845,,,
Mar-01,152257,,,
Apr-01,152433,,,
May-01,155849,,,
Jun-01,157482,,,
Jul-01,158408,,,
Aug-01,161644,,,
Sep-01,162813,,,
Oct-01,165410,,,
Nov-01,166438,,,
Dec-01,167919,,,
Jan-02,169371,,,
Feb-02,171519,,,
Mar-02,174299,,,
Apr-02,177685,,,
May-02,181327,,,
Jun-02,184589,,,
Jul-02,188085,,,
Aug-02,191971,,,
Sep-02,194921,,,
Oct-02,198091,,,
Nov-02,201697,,,
Dec-02,203497,,,
Jan-03,206461,,,
Feb-03,207455,,,
Mar-03,207181,,,
Apr-03,207204,,,
May-03,209028,,,
Jun-03,207326,,,
Jul-03,210279,,,
Aug-03,209044,,,
Sep-03,210687,,,
Oct-03,213538,,,
Nov-03,214912,,,
Dec-03,216987,,,
Jan-04,218092,,,
Feb-04,220887,,,
Mar-04,222981,,,
Apr-04,224977,,,
May-04,225777,,,
Jun-04,228463,,,
Jul-04,229749,,,
Aug-04,230871,,,
Sep-04,231714,,,
Oct-04,231107,,,
Nov-04,234340,,,
Dec-04,230163,,,
Jan-05,231698,,151003,
Feb-05,232518,,151675,
Mar-05,232952,,152762,
Apr-05,234483,,153092,
May-05,234156,,153796,
Jun-05,234245,,154383,
Jul-05,233107,,155192,
Aug-05,233791,,155794,
Sep-05,234169,,156348,
Oct-05,233125,,156929,
Nov-05,236572,,158053,
Dec-05,238505,,158863,
Jan-06,239210,0.032,160371,0.062
Feb-06,240364,0.034,161477,0.065
Mar-06,243134,0.044,162671,0.065
Apr-06,244716,0.044,164216,0.073
May-06,246001,0.051,164763,0.071
Jun-06,249783,0.066,165641,0.073
Jul-06,248425,0.066,166733,0.074
Aug-06,252207,0.079,168098,0.079
Sep-06,254217,0.086,169634,0.085
Oct-06,257696,0.105,171583,0.093
Nov-06,259220,0.096,173230,0.096
Dec-06,264752,0.11,175352,0.104
Jan-07,266955,0.116,177215,0.105
Feb-07,272015,0.132,178580,0.106
Mar-07,275170,0.132,179967,0.106
Apr-07,278196,0.137,181365,0.104
May-07,280914,0.142,182345,0.107
Jun-07,284281,0.138,183565,0.108
Jul-07,289386,0.165,184399,0.106
Aug-07,292726,0.161,185420,0.103
Sep-07,294287,0.158,186542,0.1
Oct-07,296803,0.152,187138,0.091
Nov-07,298388,0.151,187963,0.085
Dec-07,298368,0.127,187675,0.07
Jan-08,297699,0.115,186256,0.051
Feb-08,296992,0.092,185468,0.039
Mar-08,295412,0.074,184269,0.024
Apr-08,293971,0.057,182296,0.005
May-08,293201,0.044,182377,0
Jun-08,288610,0.015,179177,-0.024
Jul-08,283345,-0.021,175740,-0.047
Aug-08,276644,-0.055,172023,-0.072
Sep-08,271935,-0.076,168407,-0.097
Oct-08,265268,-0.106,165965,-0.113
Nov-08,260005,-0.129,162104,-0.138
Dec-08,254671,-0.146,159735,-0.149
Jan-09,252361,-0.152,157637,-0.154
Feb-09,251677,-0.153,156418,-0.157
Mar-09,249684,-0.155,155652,-0.155
Apr-09,245489,-0.165,155137,-0.149
May-09,248073,-0.154,156483,-0.142
Jun-09,252421,-0.125,157296,-0.122
Jul-09,252599,-0.109,158718,-0.097
Aug-09,256858,-0.072,160215,-0.069
Sep-09,262531,-0.035,162100,-0.037
Oct-09,266954,0.006,164247,-0.01
Nov-09,268436,0.032,165585,0.021
Dec-09,270806,0.063,166906,0.045
Jan-10,278865,0.105,167873,0.065
Feb-10,280761,0.116,168882,0.08
Mar-10,283309,0.135,169075,0.086
Apr-10,281900,0.148,169235,0.091
May-10,279561,0.127,169304,0.082
